﻿Emendas Parlamentares 2020;;;;;;;;;;
Autor;Emenda;Órgão;Aprovado;Alteração;Movimentação;Bloqueado;Autorizado;Empenhado;Liquidado;Pago
JAQUELINE SILVA;08.244.6228.4188.0017 - AÇÕES COMPLEMENTARES DE PROTEÇÃO SOCIAL BÁSICA-FORTALECIMENTO DAS AÇÕES VOLTADAS ÀS COOPERATIVAS DE CATADORES;SECRETARIA DE EST. DE DESENV. SOCIAL DO DF;0;1.500.000,00;0;0;1.500.000,00;1.500.000,00;1.500.000,00;1.500.000,00
JAQUELINE SILVA;26.782.6216.7220.7915 - CONSTRUÇÃO DE TERMINAL RODOVIÁRIO NA REGIÃO ADMINISTRATIVA DE SANTA MARIA-RA XIII;SECRETARIA DE EST.DE TRANSPORTE E MOBILIDADE DO DF;1.500.000,00;0;0;0;1.500.000,00;1.500.000,00;1.500.000,00;1.500.000,00
CLÁUDIO ABRANTES;15.122.6202.3135.0032 - CONSTRUÇÃO DE UNIDADES BÁSICAS DE SAÚDE-EXECUÇÃO DE OBRAS PARA UNIDADE BÁSICA DE SAÚDE NO VALE DO AMANHECER- PLANALTINA;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;2.000.000,00;-500.000,00;0;0;1.500.000,00;1.500.000,00;422.588,23;421.530,19
FERNANDO FERNANDES;10.122.6202.4166.0021 - PLANEJAMENTO E GESTÃO DA ATENÇÃO ESPECIALIZADA-RECURSOS PARA O HOSPITAL REGIONAL DE CEILÂNDIA - PARA O COMBATE A PANDEMIA DO CORONA VÍRUS - COVID19-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL;0;0;1.500.000,00;0;1.500.000,00;1.500.000,00;1.500.000,00;1.500.000,00
IOLANDO ALMEIDA;12.122.6221.9068.0181 - MANUTENÇÃO E CONSERVAÇÃO DE ESCOLAS DE BRAZLANDIA IA;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;1.980.000,00;-500.000,00;0;0;1.480.000,00;1.480.000,00;1.480.000,00;1.480.000,00
ARLETE AVELAR SAMPAIO;13.392.6219.9075.0136 - TRANSFERÊNCIA DE RECURSOS PARA PROJETOS CULTURAIS EM TODO O DISTRITO FEDERAL;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;3.735.000,00;-1.685.000,00;-570.000,00;0;1.480.000,00;1.473.066,85;1.473.066,85;1.473.066,85
ROBÉRIO NEGREIROS;15.452.6209.8508.9216 - MANUTENÇÃO DE ÁREAS URBANIZADAS E AJARDINADAS EM TODO O DISTRITO FEDERAL EM 2020;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;500.000,00;950.000,00;0;0;1.450.000,00;1.448.869,81;1.428.596,14;1.401.819,45
JAQUELINE SILVA;12.122.6221.9068.0195 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA ESCOLAS DO DISTRITO FEDERAL-PROGRAMA PDAF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;1.440.000,00;0;0;0;1.440.000,00;1.440.000,00;1.440.000,00;1.440.000,00
FÁBIO FÉLIX;10.302.6202.3467.9625 - AQUISIÇÃO DE EQUIPAMENTOS PARA A ÁREA DE SAÚDE;SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL;0;0;1.000.000,00;0;1.000.000,00;1.415.629,17;0;0
FÁBIO FÉLIX;10.303.6202.4216.0024 - AQUISIÇÃO DE MEDICAMENTO PARA A POPULAÇÃO CARENTE DO DF;SECRETARIA DE ESTADO DE SAÚDE DO DISTRITO FEDERAL;0;0;1.400.000,00;0;1.400.000,00;1.399.826,85;1.399.770,72;1.399.770,72
