﻿Emendas Parlamentares 2020;;;;;;;;;;
Autor;Emenda;Órgão;Aprovado;Alteração;Movimentação;Bloqueado;Autorizado;Empenhado;Liquidado;Pago
FÁBIO FÉLIX;10.302.6202.3467.9625 - AQUISIÇÃO DE EQUIPAMENTOS PARA A ÁREA DE SAÚDE;FUNDO DE SAÚDE DO DISTRITO FEDERAL;0;500.000,00;-500.000,00;0;0;0;0;0
FÁBIO FÉLIX;10.302.6202.3467.9625 - AQUISIÇÃO DE EQUIPAMENTOS PARA A ÁREA DE SAÚDE;FUNDO DE SAÚDE DO DISTRITO FEDERAL;1.000.000,00;0;-1.000.000,00;0;0;0;0;0
FÁBIO FÉLIX;10.303.6202.4216.0024 - AQUISIÇÃO DE MEDICAMENTO PARA A POPULAÇÃO CARENTE DO DF;FUNDO DE SAÚDE DO DISTRITO FEDERAL;800.000,00;600.000,00;-1.400.000,00;0;0;0;0;0
JOSÉ GOMES;10.303.6202.4216.0022 - AQUISIÇÃO DE MEDICAMENTOS PARA ASSISTÊNCIA À SAÚDE PÚBLICA DO DISTRITO FEDERAL - DF;FUNDO DE SAÚDE DO DISTRITO FEDERAL;1.000.000,00;-1.000.000,00;0;0;0;0;0;0
JÚLIA LUCY;10.301.6202.3222.0013 - REFORMA DE UNIDADES DE ATENÇÃO BÁSICA;FUNDO DE SAÚDE DO DISTRITO FEDERAL;300.000,00;-300.000,00;0;0;0;0;0;0
JOSÉ GOMES;10.301.6202.3135.0041 - CONSTRUÇÃO DE UNIDADE BÁSICA DE SAÚDE - UBS - DISTRITO FEDERAL - DF;FUNDO DE SAÚDE DO DISTRITO FEDERAL;300.000,00;-300.000,00;0;0;0;0;0;0
JÚLIA LUCY;10.301.6202.3135.0036 - CONSTRUÇÃO DE PRÉDIOS E PRÓPRIOS - UNIDADES BÁSICAS DE SAÚDE;FUNDO DE SAÚDE DO DISTRITO FEDERAL;3.000.000,00;0;-2.676.187,97;0;323.812,03;0;0;0
LEANDRO GRASS;10.302.6202.4009.0011 - AQUISIÇÃO DE INSUMOS E MATERIAL MÉDICO HOSPITALAR-AQUISIÇÃO DE INSUMOS E MATERIAL MÉDICO HOSPITALAR-SES-DISTRITO FEDERAL-DISTRITO FEDERAL;FUNDO DE SAÚDE DO DISTRITO FEDERAL;0;381.000,00;-381.000,00;0;0;0;0;0
IOLANDO ALMEIDA;13.392.6219.2831.0090 - PROMOÇÃO DE ATIVIDADES PE CULTURAIS;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;150.000,00;-150.000,00;0;0;0;0;0;0
JORGE VIANNA;13.392.6219.2590.0002 - FOMENTO CULTURAL PARA O DISTRITO FEDERAL - 2020;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;800.000,00;-800.000,00;0;0;0;0;0;0
VALDELINO BARCELOS;20.304.6201.2612.0003 - FOMENTO A MICROCHIPAGEM DE EQUÍDEOS DO DISTRITO FEDERAL;SECRETARIA DE AGRIC. ABASTECIMENTO E DESENV RURAL;845.000,00;-845.000,00;0;0;0;0;0;0
JÚLIA LUCY;11.333.6211.4240.2285 - DESENVOLVIMENTO DE AÇÕES DE PROMOÇÃO DA MULHER E GARANTIR OS DIREITOS-APOIO AO PROJETO: MULHER CIDADÃ - EMPODERAMENTO E QUALIFICAÇÃO PROFISSIONAL-DISTRITO FEDERAL;SECRETARIA DE EST. DE DESENV. SOCIAL DO DF;300.000,00;-100.000,00;-200.000,00;0;0;0;0;0
JÚLIA LUCY;11.333.6211.4240.0003 - DESENVOLVIMENTO DE AÇÕES DE PROMOÇÃO DA MULHER E GARANTIR OS DIREITOS- APOIO AO PROJETO: MULHER CIDADÃ - EMPODERAMENTO E QUALIFICAÇÃO PROFISSIONAL-DISTRITO FEDERAL;SECR. DE ESTADO DE TRABALHO DO DISTRITO FEDERAL;0;-200.000,00;200.000,00;0;0;0;0;0
ARLETE AVELAR SAMPAIO;11.333.6207.9107.0036 - TRANSFERÊNCIA PARA EVENTOS LIGADOS À TERRA;SECRETARIA DE EST. DE DESENV. SOCIAL DO DF;200.000,00;0;-200.000,00;0;0;0;0;0
REGINALDO SARDINHA;11.334.6201.9107.0057 - TRANSFERÊNCIA FINANCEIRA A ENTIDADES-APOIO A PROJETOS DE CAPACITAÇÃO E EMPREENDEDORISMO (EM 2020)-DISTRITO FEDERAL;SECR. DE ESTADO DE TRABALHO DO DISTRITO FEDERAL;0;-75.000,00;75.000,00;0;0;0;0;0
VALDELINO BARCELOS;12.365.6221.2388.4395 - AQUISIÇÃO DE PARQUES INFANTIS PARA ESCOLAS PÚBLICAS PARA RECANTO DAS EMAS;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;450.000,00;-450.000,00;0;0;0;0;0;0
CHICO VIGILANTE;13.392.6219.9075.0115 - APOIO AO PROJETO DE FOMENTO DA ECONOMIA DA CULTURA E SOLIDÁRIA;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;100.000,00;-100.000,00;0;0;0;0;0;0
CHICO VIGILANTE;13.392.6219.9075.0113 - APOIO AO PROJETO ROLÊ CULTURAL;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;100.000,00;-100.000,00;0;0;0;0;0;0
CLÁUDIO ABRANTES;27.392.6219.9075.0142 - TRANSFERÊNCIA DE RECURSOS PARA PROJETOS CULTURAIS - APOIO A EVENTOS NO DISTRITO FEDERAL;SECRETARIA DE EST. DE TURISMO DO DISTRITO FEDERAL;400.000,00;-400.000,00;0;0;0;0;0;0
JÚLIA LUCY;13.392.6219.9075.0139 - TRANSFERÊNCIA DE RECURSOS PARA PROJETOS CULTURAIS;SECRETARIA DE ESTADO DE CIÊNCIA, TECNOLOGIA E INOV;0;0;200.000,00;0;200.000,00;0;0;0
IOLANDO ALMEIDA;13.392.6219.2831.0088 - PROMOÇÃO DE ATIVIDADES CULTURAIS;ADMINISTRAÇÃO REGIONAL DE  BRAZLANDIA;2.500.000,00;-2.500.000,00;0;0;0;0;0;0
CHICO VIGILANTE;13.392.6219.9075.0134 - APOIO AO PROJETO CULTURAL OCUPAÇÃO - PAUTA CÊNICA E PAUTA SONORA;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;300.000,00;0;-300.000,00;0;0;0;0;0
CHICO VIGILANTE;13.392.6219.9075.0132 - APOIO AO PROJETO CULTURAL A ESCOLA NO CINEMA;SECRETARIA DE EST. DE CULTURA E ECON. CRIAT. DO DF;200.000,00;-200.000,00;0;0;0;0;0;0
FERNANDO FERNANDES;15.451.6209.1110.8153 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-CONSTRUÇÃO E REFORMA DE CALÇADAS-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE OBRAS E INFRAEST. DO DF;1.600.000,00;-1.600.000,00;0;0;0;0;0;0
JAQUELINE SILVA - JÚLIA LUCY;15.451.6206.3902.9545 - REFORMAS DE PRAÇAS E PARQUES PÚBLICOS NO DISTRITO FEDERAL-DF;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;2.340.000,00;-2.340.000,00;0;0;0;0;0;0
RAFAEL PRUDENTE;15.451.6206.3902.0065 - REFORMA DE PRAÇAS PÚBLICAS E PARQUES- - REFORMA DA PRAÇA PRINCIPAL DO PARANOÁ - PARANOÁ;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;0;500.000,00;-500.000,00;0;0;0;0;0
JORGE VIANNA;15.451.6206.3596.8550 - IMPLANTAÇÃO DE INFRAESTRUTURA ESPORTIVA NAS CIDADES DO DF - 2020;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;500.000,00;-500.000,00;0;0;0;0;0;0
RAFAEL PRUDENTE;15.451.6206.3048.9607 - REFORMA DE ESPAÇOS ESPORTIVOS NAS REG. ADM. DO DF;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;400.000,00;-400.000,00;0;0;0;0;0;0
PROF. REGINALDO VERAS;15.451.6206.1079.0015 - CONSTRUÇÃO DO SKATE PARK NA PRAÇA DA BÍBLIA EM CEILÂNDIA;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;500.000,00;-500.000,00;0;0;0;0;0;0
LEANDRO GRASS;14.422.6211.9107.0062 - TRANSFERÊNCIA FINANCEIRA A ENTIDADES- - APOIO A PROJETOS -DISTRITO FEDERAL;SECRETARIA DE EST. DE JUSTIÇA E CIDADANIA DO DF;0;1.000,10;0;0;1.000,10;0;0;0
CHICO VIGILANTE - FERNANDO FERNANDES;14.422.6211.4213.3851 - DESENVOLVIMENTO DE AÇÕES RELACIONADAS A REDE DE ENFRENTAMENTO À VIOLÊNCIA CONTRA A MULHER-AMPLIAÇÃO E MANUTENÇÃO DO SERVIÇO ITINERANTE À VIOLÊNCIA CONTRA MULHER-DISTRITO FEDERAL;SECRETARIA DE ESTADO DA MULHER DO DISTRITO FEDERAL;200.000,00;-200.000,00;0;0;0;0;0;0
JOSÉ GOMES;14.422.6211.4091.5921 - APOIO AO PROJETO - SEJUS MAIS PERTO DO CIDADÃO - DF;SECRETARIA DE EST. DE JUSTIÇA E CIDADANIA DO DF;300.000,00;-300.000,00;0;0;0;0;0;0
CHICO VIGILANTE;13.392.6219.9075.0134 - APOIO AO PROJETO CULTURAL OCUPAÇÃO - PAUTA CÊNICA E PAUTA SONORA;SECRETARIA DE EST. DE TURISMO DO DISTRITO FEDERAL;0;0;300.000,00;0;300.000,00;0;0;0
JOÃO CARDOSO;04.421.6217.2426.8557 - CONTRATAÇÃO DE MÃO DE OBRA-FUNAP;ADMINISTRAÇÃO REGIONAL DE SOBRADINHO;190.000,00;-190.000,00;0;0;0;0;0;0
CHICO VIGILANTE;14.422.6207.9107.0060 - TRANSFERÊNCIA FINANCEIRA A ENTIDADES-APOIO ÀS ATIVIDADES DO MOVIMENTO DOS TRABALHADORES RURAIS SEM TERRA-DISTRITO FEDERAL;SECRETARIA DE ESTADO DA MULHER DO DISTRITO FEDERAL;0;-100.000,00;100.000,00;0;0;0;0;0
RAFAEL PRUDENTE;15.451.6206.3902.9541 - REFORMA DA PRAÇA DA BÍBLIA;ADMINISTRAÇÃO REGIONAL DE  BRAZLANDIA;50.000,00;-50.000,00;0;0;0;0;0;0
EDUARDO PEDROSA;15.451.6206.3902.0059 - REFORMA DE PRAÇAS PÚBLICAS E PARQUES-REFORMA DE PARQUINHOS INFANTIS NA REGIÃO ADMINISTRATIVA DO ITAPOÃ  - ITAPOÃ;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;0;0;210.000,00;0;210.000,00;0;0;0
EDUARDO PEDROSA;15.451.6206.3902.0059 - REFORMA DE PRAÇAS PÚBLICAS E PARQUES-REFORMA DE PARQUINHOS INFANTIS NA REGIÃO ADMINISTRATIVA DO ITAPOÃ  - ITAPOÃ;ADMINISTRAÇÃO REGIONAL DO ITAPOÃ;0;210.000,00;-210.000,00;0;0;0;0;0
JORGE VIANNA;15.451.6206.1950.9527 - CONSTRUÇÃO DA PRAÇA DO CHAFARIZ - SAMAMBAIA;ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA;500.000,00;-500.000,00;0;0;0;0;0;0
RODRIGO DELMASSO;15.451.6209.1110.8160 - CONSTRUÇÃO DE ESTACIONAMENTO EM SOBRADINHO;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;120.000,00;-120.000,00;0;0;0;0;0;0
VALDELINO BARCELOS;20.304.6203.2957.0001 - PRESTAÇÃO ITINERANTE DE SERVIÇOS RELATIVOS À DEFESA AGROPECUÁRIA POR MEIO DE ESCRITÓRIO MÓVEL;SECRETARIA DE AGRIC. ABASTECIMENTO E DESENV RURAL;320.000,00;-320.000,00;0;0;0;0;0;0
ROOSEVELT VILELA;12.366.6221.9068.0205 - APOIO À PROJETO DE EDUCAÇÃO DE IDOSOS NA PROMOÇÃO DO CONHECIMENTO E DO ENVELHECIMENTO ATIVO;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;700.000,00;0;0;0;700.000,00;0;0;0
IOLANDO ALMEIDA;12.367.6221.5051.0003 - EXECUÇÃO DE OBRAS DE ADEQUAÇÃO E REPARO ESCOLA BILINGUE DE LIBRAS;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;200.000,00;-200.000,00;0;0;0;0;0;0
FERNANDO FERNANDES;"15.451.6209.1110.8162 - REVITALIZAÇÃO DO PARQUE DO SETOR ""O""";COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;300.000,00;-300.000,00;0;0;0;0;0;0
PROF. REGINALDO VERAS;15.451.6209.1110.8117 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO - TAGUATINGA;ADMINISTRAÇÃO REGIONAL DE TAGUATINGA;500.000,00;-500.000,00;0;0;0;0;0;0
ROBÉRIO NEGREIROS;15.451.6209.1110.8116 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO NA RA II EM 2020;ADMINISTRAÇÃO REGIONAL DO GAMA;500.000,00;-500.000,00;0;0;0;0;0;0
FÁBIO FÉLIX;15.451.6209.1110.8113 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO NO PLANO PILOTO;ADMINISTRAÇÃO REGIONAL DO PLANO PILOTO;300.000,00;-300.000,00;0;0;0;0;0;0
ROBÉRIO NEGREIROS;15.451.6209.1110.8151 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO NA RA XXXI EM 2020- FERCAL;ADMINISTRAÇÃO REGIONAL DA FERCAL - RA XXXI;1.500.000,00;-1.500.000,00;0;0;0;0;0;0
AGACIEL MAIA;15.451.6209.1110.8136 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA EM SAMAMBAIA - H;ADMINISTRAÇÃO REGIONAL DE SAMAMBAIA;500.000,00;-500.000,00;0;0;0;0;0;0
ROBÉRIO NEGREIROS;15.451.6209.1110.8131 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO NA RA IX EM 2020;ADMINISTRAÇÃO REGIONAL DE CEILÂNDIA;500.000,00;-500.000,00;0;0;0;0;0;0
PROF. REGINALDO VERAS;15.451.6209.1110.8129 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO - CEILÂNDIA;ADMINISTRAÇÃO REGIONAL DE CEILÂNDIA;500.000,00;-500.000,00;0;0;0;0;0;0
AGACIEL MAIA;15.451.6209.1110.8128 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO-EXECUÇÃO DE OBRAS DE URBANIZAÇÃO E INFRAESTRUTURA NO NÚCLEO BANDEIRANTE - H- NÚCLEO BANDEIRANTE;ADMINISTRAÇÃO REGIONAL DO  NÚCLEO BANDEIRANTE;500.000,00;-500.000,00;0;0;0;0;0;0
ROBÉRIO NEGREIROS;15.451.6209.1110.8127 - EXECUÇÃO DE OBRAS DE URBANIZAÇÃO NA RA VII EM 2020;ADMINISTRAÇÃO REGIONAL DO PARANOÁ;500.000,00;-500.000,00;0;0;0;0;0;0
JOÃO CARDOSO;04.122.8205.8517.9831 - MANUTENÇÃO DE SERVIÇOS ADMINISTRATIVOS;ADMINISTRAÇÃO REGIONAL DE SOBRADINHO;150.000,00;-100.000,00;0;-50.000,00;0;0;0;0
JAQUELINE SILVA;15.122.6209.1968.3221 - ELABORAÇÃO DE PROJETO DA FEIRA PERMANENTE DE SANTA MARIA - RA XIII;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;250.000,00;-250.000,00;0;0;0;0;0;0
JAQUELINE SILVA;10.122.8202.2396.5402 - CONSERVAÇÕES DAS ESTRUTURAS FÍSICAS DE EDIFICAÇÕES PÚBLICAS DA SECRETARIA DE SAÚDE-DF;FUNDO DE SAÚDE DO DISTRITO FEDERAL;250.000,00;-250.000,00;0;0;0;0;0;0
EDUARDO PEDROSA;04.122.6207.3711.6201 - REALIZAÇÃO DE ESTUDOS E PESQUISAS EM PROL DO DESENVOLVIMENTO DO DF;COMPANHIA DE PLANEJ. DO DISTRITO FEDERAL-CODEPLAN;100.000,00;-100.000,00;0;0;0;0;0;0
IOLANDO ALMEIDA;10.122.6202.4166.0025 - PROGRAMA DE DESCENTRALIZAÇÃO PROGRESSIVA DA AÇÕES DE SAÚDE - PDPAS-SES-2021;FUNDO DE SAÚDE DO DISTRITO FEDERAL;0;400.000,00;-400.000,00;0;0;0;0;0
CHICO VIGILANTE;18.122.8216.1142.0011 - AQUISIÇÃO DE VEÍCULO PARA O JARDIM ZOOLÓGICO DE BRASÍLIA;FUNDAÇÃO JARDIM ZOOLÓGICO DE BRASÍLIA;150.000,00;-150.000,00;0;0;0;0;0;0
VALDELINO BARCELOS;12.122.6221.9068.0190 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA AS ESCOLAS;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;500.000,00;-500.000,00;0;0;0;0;0;0
PROF. REGINALDO VERAS;10.122.6202.4166.0020 - PLANEJAMENTO E GESTÃO DA ATENÇÃO ESPECIALIZADA-PROGRAMA DE DESCENTRALIZAÇÃO PROGRESSIVA DAS AÇÕES DE SAÚDE - PDPAS - HOSPITAL DE BRAZLÂNDIA-DISTRITO FEDERAL;FUNDO DE SAÚDE DO DISTRITO FEDERAL;0;100.000,00;-100.000,00;0;0;0;0;0
CHICO VIGILANTE;10.122.6202.4166.0013 - PLANEJAMENTO E GESTÃO DA ATENÇÃO ESPECIALIZADA-PDPAS NA REGIÃO ADMINISTRATIVA DE CEILÂNDIA- CEILÂNDIA;FUNDO DE SAÚDE DO DISTRITO FEDERAL;0;1.000.000,00;-1.000.000,00;0;0;0;0;0
FÁBIO FÉLIX;10.122.6202.4166.0006 - DESCENTRALIZAÇÃO DE RECURSOS DIRETO PARA AS REGIONAIS DE SAÚDE DO DF;FUNDO DE SAÚDE DO DISTRITO FEDERAL;300.000,00;400.000,00;-700.000,00;0;0;0;0;0
LEANDRO GRASS;04.122.6203.2912.0002 - REALIZAÇÃO DE PESQUISAS SOCIOECONÔMICAS, URBANAS E AMBIENTAIS DO DISTRITO FEDERAL;COMPANHIA DE PLANEJ. DO DISTRITO FEDERAL-CODEPLAN;131.000,00;-131.000,00;0;0;0;0;0;0
ARLETE AVELAR SAMPAIO;04.122.6203.4089.5775 - CONTRATAÇÃO DE CURSOS FIC PELA ADMINISTRAÇÃO;ADMINISTRAÇÃO REGIONAL DO PLANO PILOTO;150.000,00;-150.000,00;0;0;0;0;0;0
CLÁUDIO ABRANTES;10.122.6202.4044.0001 - ENFRETAMENTO DA EMERGÊNCIA COVID 19 - SES - DISTRITO FEDERAL;FUNDO DE SAÚDE DO DISTRITO FEDERAL;0;200.000,00;-200.000,00;0;0;0;0;0
ROOSEVELT VILELA;20.122.8201.2422.9647 - CONCESSÃO DE BOLSA ESTÁGIO EMATER;EMPRESA DE ASSIST. TÉC. E EXT. RURAL DO DF-EMATER;200.000,00;-200.000,00;0;0;0;0;0;0
JOÃO CARDOSO;04.122.8205.8517.9831 - MANUTENÇÃO DE SERVIÇOS ADMINISTRATIVOS;ADMINISTRAÇÃO REGIONAL DE SOBRADINHO;10.000,00;-10.000,00;0;0;0;0;0;0
JOÃO CARDOSO;04.122.8205.8517.9831 - MANUTENÇÃO DE SERVIÇOS ADMINISTRATIVOS;ADMINISTRAÇÃO REGIONAL DE SOBRADINHO;10.000,00;-10.000,00;0;0;0;0;0;0
JOÃO CARDOSO;04.122.8205.8517.9831 - MANUTENÇÃO DE SERVIÇOS ADMINISTRATIVOS;ADMINISTRAÇÃO REGIONAL DE SOBRADINHO;10.000,00;-10.000,00;0;0;0;0;0;0
JAQUELINE SILVA;12.122.6221.9068.0183 - DESCENTRALIZAÇÃO DE RECURSOS FINANCEIROS PARA ESCOLAS DA REGIONAL DE SANTA MARIA-PROGRAMA PDAF;SECRETARIA DE ESTADO DE EDUCAÇÃO DO DF;250.000,00;-250.000,00;0;0;0;0;0;0
ARLETE AVELAR SAMPAIO;15.122.6209.3467.0069 - AQUISIÇÃO DE EQUIPAMENTOS-- CEILÂNDIA;ADMINISTRAÇÃO REGIONAL DE CEILÂNDIA;0;40.000,00;0;-40.000,00;0;0;0;0
LEANDRO GRASS;12.122.8209.1984.9868 - CONSTRUÇÃO DE PRÉDIOS E PRÓPRIOS-CONSTRUÇÃO DO MUSEU DA EDUCAÇÃO-DISTRITO FEDERAL;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;200.000,00;-200.000,00;0;0;0;0;0;0
MARTINS MACHADO;20.122.8201.3903.9830 - IMPLANTAÇÃO DE CRECHE EM ÁREAS RURAIS DO DISTRITO FEDERAL;EMPRESA DE ASSIST. TÉC. E EXT. RURAL DO DF-EMATER;360.000,00;-360.000,00;0;0;0;0;0;0
PROF. REGINALDO VERAS;12.122.8209.1984.9863 - CONSTRUÇÃO DO MUSEU DA EDUCAÇÃO DO DISTRITO FEDERAL;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;300.000,00;-300.000,00;0;0;0;0;0;0
EDUARDO PEDROSA;15.122.8209.1984.9864 - CONSTRUÇÃO DE PRÉDIOS E PRÓPRIOS EM PROL DE TODA COMUNIDADE DO DF;COMPANHIA URB. DA NOVA CAPITAL DO BRASIL-NOVACAP;400.000,00;-400.000,00;0;0;0;0;0;0
RAFAEL PRUDENTE;15.122.8209.1984.9862 - CONSTRUÇÃO DE PRÉDIOS E PRÓPRIOS-NAS REGIÕES ADMININISTRATIVAS-DISTRITO FEDERAL;SECRETARIA DE ESTADO DE OBRAS E INFRAEST. DO DF;500.000,00;-500.000,00;0;0;0;0;0;0
ARLETE AVELAR SAMPAIO;18.122.6210.3870.0002 - CERCAMENTO DAS MARGENS DO CÓRREGO ENTRE O ZOOLÓGICO E CANDANGOLÂNDIA;FUNDAÇÃO JARDIM ZOOLÓGICO DE BRASÍLIA;250.000,00;-250.000,00;0;0;0;0;0;0
EDUARDO PEDROSA;06.181.8217.3903.9832 - REFORMA E AMPLIAÇÃO DA ÁREA DE TREINAMENTO E DO ESTANDE DE TIRO DA PMDF;POLÍCIA MILITAR DO DISTRITO FEDERAL - PMDF;100.000,00;-100.000,00;0;0;0;0;0;0
FÁBIO FÉLIX;06.181.6217.2775.0011 - PROGRAMA DE PROTEÇÃO ÀS  MULHERES COM MEDIDA PROTETIVA DE URGÊNCIA;SECRETARIA DE EST. DE  SEGURANÇA PÚBLICA DO DF;500.000,00;-500.000,00;0;0;0;0;0;0
VALDELINO BARCELOS;06.181.6217.4031.0014 - INVESTIMENTO PARA O PROJETO DE VIDEOMONITORAMENTO EM PLANALTINA;SECRETARIA DE EST. DE  SEGURANÇA PÚBLICA DO DF;500.000,00;-500.000,00;0;0;0;0;0;0
AGACIEL MAIA;14.241.6211.2268.0010 - ASSISTÊNCIA AO IDOSO-PROJETO QUALIFICA 50+ DIGITAL-DISTRITO FEDERAL;SECRETARIA DE EST. DE JUSTIÇA E CIDADANIA DO DF;0;300.000,00;0;0;300.000,00;0;0;0
CHICO VIGILANTE;08.241.6228.9107.0032 - REFORMA DAS INSTALAÇÕES DA CASA DO CEARÁ;SECRETARIA DE EST. DE DESENV. SOCIAL DO DF;50.000,00;-50.000,00;0;0;0;0;0;0
RODRIGO DELMASSO;14.243.6211.9078.0022 - PROJETO ABRACE A ECOTERAPIA (OCA);SECRETARIA DE EST. DE JUSTIÇA E CIDADANIA DO DF;480.000,00;-480.000,00;0;0;0;0;0;0
RODRIGO DELMASSO;14.243.6211.4091.5919 - PROJETO CONSULTÓRIO ODONTOLÓGICO ITINERANTE;SECRETARIA DE EST. DE JUSTIÇA E CIDADANIA DO DF;300.000,00;-300.000,00;0;0;0;0;0;0
JORGE VIANNA;14.243.6211.9078.0020 - ATIVIDADES DE EQUOTERAPIA PARA REABILITAÇÃO DA PESSOA COM NECESSIDADES ESPECIAIS;SECRETARIA DE EST. DE JUSTIÇA E CIDADANIA DO DF;100.000,00;-100.000,00;0;0;0;0;0;0
RODRIGO DELMASSO;14.243.6211.9078.0033 - TRANSFERÊNCIA ÀS INSTITUIÇÕES DE ASSISTÊNCIA ÀS CRIANÇAS E AOS ADOLESCENTES-PROJETO JOVEM PROTAGONISTA-DISTRITO FEDERAL;SECRETARIA DE ESTADO DA JUVENTUDE DO DF;0;568.966,00;-568.966,00;0;0;0;0;0
JÚLIA LUCY;14.243.6211.3096.0004 - CONSTRUÇÃO DO CONSELHO TUTELAR DO RECANTO DAS EMAS;SECRETARIA DE EST. DE JUSTIÇA E CIDADANIA DO DF;800.000,00;-800.000,00;0;0;0;0;0;0
FÁBIO FÉLIX;14.243.6211.4217.0004 - ACOMPANHAMENTO A EGRESSOS DO SISTEMA SOCIOEDUCATIVO;SECRETARIA DE EST. DE JUSTIÇA E CIDADANIA DO DF;300.000,00;-300.000,00;0;0;0;0;0;0
ARLETE AVELAR SAMPAIO;14.243.6211.9086.0004 - TRANSFERÊNCIA AO PROGRAMA PPCAM NO DISTRITO FEDERAL;SECRETARIA DE EST. DE JUSTIÇA E CIDADANIA DO DF;100.000,00;-100.000,00;0;0;0;0;0;0
RODRIGO DELMASSO;04.124.6203.4093.0004 - PROJETO DE OLHO NA SAÚDE;CONTROLADORIA GERAL DO DISTRITO FEDERAL;150.000,00;-150.000,00;0;0;0;0;0;0
ROBÉRIO NEGREIROS;11.126.8207.1471.5906 - MODERNIZAÇÃO DE SISTEMA DE INFORMAÇÃO;FUNDO P/A GERAÇÃO DE EMP. E RENDA DO DF - FUNGER;504.636,00;-504.636,00;0;0;0;0;0;0
FERNANDO FERNANDES;15.127.6208.4011.0017 - REGULARIZAÇÃO DA ÁREA DE INTERESSE SOCIAL DENOMINADA SETOR HABITACIONAL ÁGUA QUENTE.;COMPANHIA DE DESENV. DA HABITAÇÃO  DO DF - CODHAB;290.000,00;-290.000,00;0;0;0;0;0;0
JORGE VIANNA;15.127.6208.4011.0015 - REGULARIZAÇÃO DE INTERESSE SOCIAL SETOR PRIMAVERA - TAGUATINGA;COMPANHIA DE DESENV. DA HABITAÇÃO  DO DF - CODHAB;200.000,00;-200.000,00;0;0;0;0;0;0
JÚLIA LUCY;04.128.6203.2619.9713 - ATENÇÃO À SAÚDE E QUALIDADE DE VIDA DO SERVIDOR;SEÇÃO DE ORÇAMENTO DA SECR. EST. ECONOMIA DO DF;300.000,00;-300.000,00;0;0;0;0;0;0
EDUARDO PEDROSA;06.181.6217.1142.0012 - AQUISIÇÃO DE VEÍCULOS-AQUISIÇÃO DE VIATURA PARA COLETA DOMICILIAR DE LEITE MATERNO NO DF-DISTRITO FEDERAL;CORPO DE BOMB. MILITAR DO DISTRITO FEDERAL - CBMDF;100.000,00;-100.000,00;0;0;0;0;0;0
DANIEL DONIZET;06.181.6217.3029.9521 - AQUISIÇÃO DE EQUIPAMENTOS - POLÍCIA MILITAR AMBIENTAL;POLÍCIA MILITAR DO DISTRITO FEDERAL - PMDF;300.000,00;-300.000,00;0;0;0;0;0;0
IOLANDO ALMEIDA;15.451.8205.3903.9825 - REFORMA DE PRÉDIOS E PRÓPRIOS - MOHCIPED/DF;ADMINISTRAÇÃO REGIONAL DE CEILÂNDIA;200.000,00;0;0;-200.000,00;0;0;0;0
ROOSEVELT VILELA;15.451.6209.4041.0004 - MANUTENÇÃO E CONSERVAÇÃO URBANÍSTICA-MANUNTENÇÃO E CONSERVAÇÃO URBANÍSTICA - RIACHO FUNDO I  - RIACHO FUNDO;ADMINISTRAÇÃO REGIONAL DO RIACHO FUNDO;0;500.000,00;-500.000,00;0;0;0;0;0
